TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,1080,svchost.exe,0x7ffa1ade0000,0x33000,ntmarta.dll,C:\\Windows\\SYSTEM32\\ntmarta.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa19820000,0x2a000,rmclient.dll,C:\\Windows\\SYSTEM32\\rmclient.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa16e60000,0xa000,CSystemEventsBrokerClient.dll,c:\\windows\\system32\\CSystemEventsBrokerClient.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa16af0000,0xe000,TimeBrokerClient.dll,c:\\windows\\system32\\TimeBrokerClient.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa16ab0000,0x39000,WPTaskScheduler.dll,C:\\Windows\\SYSTEM32\\WPTaskScheduler.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1acb0000,0x19000,wkscli.dll,c:\\windows\\system32\\wkscli.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa169f0000,0x33000,netjoin.dll,C:\\Windows\\SYSTEM32\\netjoin.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1b4c0000,0x2b000,JoinUtil.dll,C:\\Windows\\SYSTEM32\\JoinUtil.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1b0b0000,0xc000,netutils.dll,C:\\Windows\\SYSTEM32\\netutils.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1cbf0000,0x6b000,WS2_32.dll,C:\\Windows\\System32\\WS2_32.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1b270000,0x6a000,mswsock.dll,C:\\Windows\\system32\\mswsock.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa174d0000,0x14000,wtsapi32.dll,C:\\Windows\\SYSTEM32\\wtsapi32.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1b990000,0x63000,WINSTA.dll,C:\\Windows\\SYSTEM32\\WINSTA.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa19250000,0xa000,DABAPI.dll,c:\\windows\\system32\\DABAPI.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1baf0000,0x24000,profapi.dll,c:\\windows\\system32\\profapi.dll,6,2026-02-17 16:28:54.000000 UTC,Disabled
