TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
2,780,660,svchost.exe,0xdb84c1718240,11,-,0,False,2026-02-17 15:28:50.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p,C:\\Windows\\system32\\svchost.exe
3,5220,780,StartMenuExper,0xdb84c7288340,6,-,1,False,2026-02-17 16:29:09.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\SystemApps\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\StartMenuExperienceHost.exe,"""C:\\Windows\\SystemApps\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\StartMenuExperienceHost.exe"" -ServerName:App.AppXywbrabmsek0gm3tkwpr5kwzbs55tkqay.mca",C:\\Windows\\SystemApps\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\StartMenuExperienceHost.exe
3,6552,780,RuntimeBroker.,0xdb84c1a9a080,2,-,1,False,2026-02-17 16:29:22.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
3,5832,780,RuntimeBroker.,0xdb84c751f080,6,-,1,False,2026-02-17 16:29:12.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
3,7720,780,RuntimeBroker.,0xdb84c80f2080,2,-,1,False,2026-02-17 16:33:02.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
3,2600,780,SearchApp.exe,0xdb84c80eb080,14,-,1,False,2026-02-17 17:32:59.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\SystemApps\\Microsoft.Windows.Search_cw5n1h2txyewy\\SearchApp.exe,-,-
4,1620,2600,msedgewebview2,0xdb84c6fb3080,57,-,1,False,2026-02-17 17:32:59.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\144.0.3719.115\\msedgewebview2.exe,-,-
5,256,1620,msedgewebview2,0xdb84c80c9080,18,-,1,False,2026-02-17 17:33:06.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\144.0.3719.115\\msedgewebview2.exe,-,-
5,1888,1620,msedgewebview2,0xdb84c85ea080,22,-,1,False,2026-02-17 17:33:05.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\144.0.3719.115\\msedgewebview2.exe,-,-
5,308,1620,msedgewebview2,0xdb84c901b080,18,-,1,False,2026-02-17 17:33:05.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\144.0.3719.115\\msedgewebview2.exe,-,-
5,6904,1620,msedgewebview2,0xdb84c80e8080,10,-,1,False,2026-02-17 17:32:59.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\144.0.3719.115\\msedgewebview2.exe,-,-
5,4476,1620,msedgewebview2,0xdb84c81ca240,10,-,1,False,2026-02-17 17:33:05.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\144.0.3719.115\\msedgewebview2.exe,-,-
3,9256,780,RuntimeBroker.,0xdb84cb4f2080,1,-,1,False,2026-02-18 00:31:15.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
