TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output,CreateTime_dt,ExitTime_dt
0,9600,2988,msedge.exe,0xdb84cb519080,0,-,1.0,False,2026-02-17 18:11:52 UTC,2026-02-17 18:15:52 UTC,Disabled,2026-02-17 18:11:52+00:00,2026-02-17 18:15:52+00:00
0,9484,660,svchost.exe,0xdb84cb80b080,3,-,0.0,False,2026-02-17 18:11:54 UTC,,Disabled,2026-02-17 18:11:54+00:00,
0,3016,660,OfficeClickToR,0xdb84c80f3080,17,-,0.0,False,2026-02-17 18:12:01 UTC,,Disabled,2026-02-17 18:12:01+00:00,
0,5076,780,SettingSyncHos,0xdb84c808a080,3,-,1.0,False,2026-02-17 18:14:10 UTC,,Disabled,2026-02-17 18:14:10+00:00,
0,9704,660,CredentialEnro,0xdb84c8070080,3,-,1.0,False,2026-02-17 18:14:21 UTC,,Disabled,2026-02-17 18:14:21+00:00,
0,8140,2988,msedge.exe,0xdb84c94f2080,0,-,1.0,False,2026-02-17 18:14:39 UTC,2026-02-17 18:15:48 UTC,Disabled,2026-02-17 18:14:39+00:00,2026-02-17 18:15:48+00:00
0,8200,2988,msedge.exe,0xdb84cb643080,0,-,1.0,False,2026-02-17 18:14:39 UTC,2026-02-17 18:15:42 UTC,Disabled,2026-02-17 18:14:39+00:00,2026-02-17 18:15:42+00:00
0,6520,2988,msedge.exe,0xdb84cb673080,0,-,1.0,False,2026-02-17 18:14:49 UTC,2026-02-17 18:15:48 UTC,Disabled,2026-02-17 18:14:49+00:00,2026-02-17 18:15:48+00:00
0,10032,2988,msedge.exe,0xdb84c95d72c0,0,-,1.0,False,2026-02-17 18:14:53 UTC,2026-02-17 18:15:42 UTC,Disabled,2026-02-17 18:14:53+00:00,2026-02-17 18:15:42+00:00
0,4444,2988,msedge.exe,0xdb84c7a3a080,0,-,1.0,False,2026-02-17 18:15:24 UTC,2026-02-17 18:15:42 UTC,Disabled,2026-02-17 18:15:24+00:00,2026-02-17 18:15:42+00:00
0,8368,2988,msedge.exe,0xdb84c7a39080,50,-,1.0,False,2026-02-17 18:15:42 UTC,,Disabled,2026-02-17 18:15:42+00:00,
0,5576,8368,msedge.exe,0xdb84c804f080,10,-,1.0,False,2026-02-17 18:15:43 UTC,,Disabled,2026-02-17 18:15:43+00:00,
0,10064,8368,msedge.exe,0xdb84c774f080,13,-,1.0,False,2026-02-17 18:15:43 UTC,,Disabled,2026-02-17 18:15:43+00:00,
0,3524,8368,msedge.exe,0xdb84cb2e0080,7,-,1.0,False,2026-02-17 18:15:43 UTC,,Disabled,2026-02-17 18:15:43+00:00,
0,3560,8368,msedge.exe,0xdb84caef1080,18,-,1.0,False,2026-02-17 18:15:43 UTC,,Disabled,2026-02-17 18:15:43+00:00,
0,9384,8368,msedge.exe,0xdb84cb76d080,16,-,1.0,False,2026-02-17 18:15:44 UTC,,Disabled,2026-02-17 18:15:44+00:00,
0,7556,8368,msedge.exe,0xdb84c7bfd080,15,-,1.0,False,2026-02-17 18:15:44 UTC,,Disabled,2026-02-17 18:15:44+00:00,
0,9132,8368,msedge.exe,0xdb84cb5e8080,17,-,1.0,False,2026-02-17 18:15:45 UTC,,Disabled,2026-02-17 18:15:45+00:00,
0,8912,3016,AppVShNotify.e,0xdb84c80ec080,1,-,1.0,False,2026-02-17 18:18:11 UTC,,Disabled,2026-02-17 18:18:11+00:00,
0,10228,660,SearchIndexer.,0xdb84c6b2b080,16,-,0.0,False,2026-02-17 18:20:44 UTC,,Disabled,2026-02-17 18:20:44+00:00,
0,1600,660,svchost.exe,0xdb84c6b40340,3,-,0.0,False,2026-02-17 18:29:40 UTC,,Disabled,2026-02-17 18:29:40+00:00,
0,10236,780,SystemSettings,0xdb84cb9b8080,19,-,1.0,False,2026-02-17 18:32:00 UTC,,Disabled,2026-02-17 18:32:00+00:00,
0,1640,660,svchost.exe,0xdb84c807a080,12,-,0.0,False,2026-02-17 18:32:47 UTC,,Disabled,2026-02-17 18:32:47+00:00,
0,10072,660,svchost.exe,0xdb84c8083080,2,-,0.0,False,2026-02-17 18:34:14 UTC,,Disabled,2026-02-17 18:34:14+00:00,
0,8804,8368,msedge.exe,0xdb84cb79b0c0,17,-,1.0,False,2026-02-18 00:15:36 UTC,,Disabled,2026-02-18 00:15:36+00:00,
0,3136,4156,CalculatorApp.,0xdb84c808d080,14,-,1.0,False,2026-02-18 00:31:14 UTC,,Disabled,2026-02-18 00:31:14+00:00,
0,9256,780,RuntimeBroker.,0xdb84cb4f2080,1,-,1.0,False,2026-02-18 00:31:15 UTC,,Disabled,2026-02-18 00:31:15+00:00,
