PID,Process,MatchedText,MatchedKeyword,Tactic,Technique,TechniqueName,ATT&CK_URL
8060,mspaint.exe,C:\\temp\\hijack\\VERSION.dll,version.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
5136,powershell.exe,C:\\Temp\\pshijack\\amsi.dll,amsi.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
8060,mspaint.exe,DLL from: C:\\temp\\hijack\\VERSION.dll,mspaint.exe,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
5520,OneDrive.exe,C:\\Windows\\SYSTEM32\\SSPICLI.DLL,sspicli.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
5672,SecurityHealth,C:\\Windows\\system32\\USERENV.dll,userenv.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
5300,VBoxTray.exe,C:\\Windows\\System32\\bcryptPrimitives.dll,bcryptprimitives.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
7620,dllhost.exe,C:\\Windows\\System32\\USERENV.dll,userenv.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
6188,SearchApp.exe,C:\\Windows\\SYSTEM32\\profapi.dll,profapi.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
3680,TextInputHost.,C:\\Windows\\System32\\bcryptPrimitives.dll,bcryptprimitives.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
5172,dllhost.exe,C:\\Windows\\System32\\bcryptPrimitives.dll,bcryptprimitives.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
392,SecurityHealth,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
3552,svchost.exe,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
6408,UserOOBEBroker,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
4260,RuntimeBroker.,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
6892,SystemSettings,C:\\Windows\\System32\\USERENV.dll,userenv.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
552,SecHealthUI.ex,C:\\Windows\\System32\\bcryptPrimitives.dll,bcryptprimitives.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
4168,ApplicationFra,C:\\Windows\\System32\\bcryptPrimitives.dll,bcryptprimitives.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
7036,RuntimeBroker.,C:\\Windows\\SYSTEM32\\cryptsp.dll,cryptsp.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
6940,svchost.exe,C:\\Windows\\System32\\CRYPT32.dll,crypt32.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
5584,SecurityHealth,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
7252,svchost.exe,c:\\windows\\system32\\USERENV.dll,userenv.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
